"path","type","class","length","dim","is_list_like","preview"
"<root>$results$data$scen_21[[1]]$Rec","double","numeric",100,NA,FALSE,"c(23009, 24528, 37574) … (97 more)"
"<root>$results$data$scen_21[[1]]$eps","double","numeric",100,NA,FALSE,"c(-0.19683, -0.21303, 0.22407) … (97 more)"
"<root>$results$data$scen_21[[1]]$reg","double","numeric",100,NA,FALSE,"c(1, 1, 1) … (97 more)"
"<root>$results$data$scen_21[[1]]$Esc","double","numeric",100,NA,FALSE,"c(7144, 10596, 11705) … (97 more)"
"<root>$results$data$scen_21[[1]]$Harv","double","numeric",100,NA,FALSE,"c(26549, 25298, 17559) … (97 more)"
"<root>$results$data$scen_21[[1]]$RepOut","double","numeric",100,NA,FALSE,"c(5822672, 8786368, 10321262) … (97 more)"
"<root>$results$data$scen_21[[1]]$lnRS","double","numeric",100,NA,FALSE,"c(1.1696126001632, 0.839338750719635, 1.16629622090223) … (97 more)"
"<root>$results$data$scen_21[[1]]$meanSesc","double","numeric",100,NA,FALSE,"c(845.73167691798, 850.656362690989, 856.999769368514) … (97 more)"
"<root>$results$data$scen_21[[1]]$meanSret","double","numeric",100,NA,FALSE,"c(848.114135700178, 847.269766437507, 855.247573452932) … (97 more)"
"<root>$results$data$scen_21[[1]]$meanSharv","double","numeric",100,NA,FALSE,"c(848.755453003737, 845.851679452946, 854.079708931521) … (97 more)"
"<root>$results$data$scen_21[[2]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_21[[2]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
"<root>$results$data$scen_21[[2]]$Ret","double","numeric",100,NA,FALSE,"c(80819, 64453, 63233) … (97 more)"
"<root>$results$data$scen_21[[2]]$Rec","double","numeric",100,NA,FALSE,"c(58727, 86066, 60324) … (97 more)"
"<root>$results$data$scen_21[[2]]$eps","double","numeric",100,NA,FALSE,"c(-0.14233, 0.25235, -0.12142) … (97 more)"
"<root>$results$data$scen_21[[2]]$reg","double","numeric",100,NA,FALSE,"c(1, 1, 1) … (97 more)"
"<root>$results$data$scen_21[[2]]$Esc","double","numeric",100,NA,FALSE,"c(21005, 23204, 18668) … (97 more)"
"<root>$results$data$scen_21[[2]]$Harv","double","numeric",100,NA,FALSE,"c(59814, 41249, 44565) … (97 more)"
