"path","type","class","length","dim","is_list_like","preview"
"<root>$results$data$scen_17[[4]]$meanSret","double","numeric",100,NA,FALSE,"c(842.81711769448, 837.162797559053, 858.903187010695) … (97 more)"
"<root>$results$data$scen_17[[4]]$meanSharv","double","numeric",100,NA,FALSE,"c(842.988762900224, 837.055146273582, 859.704582064526) … (97 more)"
"<root>$results$data$scen_17[[5]]","list","data.frame",12,"100x12",TRUE,NA
"<root>$results$data$scen_17[[5]]$Year","integer","integer",100,NA,FALSE,"11:13 … (97 more)"
"<root>$results$data$scen_17[[5]]$Ret","double","numeric",100,NA,FALSE,"c(22024, 21118, 18117) … (97 more)"
"<root>$results$data$scen_17[[5]]$Rec","double","numeric",100,NA,FALSE,"c(30539, 38849, 37145) … (97 more)"
"<root>$results$data$scen_17[[5]]$eps","double","numeric",100,NA,FALSE,"c(0.10821, 0.38681, 0.289) … (97 more)"
"<root>$results$data$scen_17[[5]]$reg","double","numeric",100,NA,FALSE,"c(2, 2, 2) … (97 more)"
"<root>$results$data$scen_17[[5]]$Esc","double","numeric",100,NA,FALSE,"c(10610, 15033, 11905) … (97 more)"
"<root>$results$data$scen_17[[5]]$Harv","double","numeric",100,NA,FALSE,"c(11414, 6085, 6212) … (97 more)"
